"Dates","DIS","BABA","JNJ","FB"
"2016-08-04",91.535385,84.75,115.955124,124.360001
"2016-08-05",92.179871,84.589996,116.310867,125.150002
"2016-08-08",92.102913,85,115.758522,125.260002
"2016-08-09",92.987869,85.239998,115.552567,125.059998
"2016-08-10",94.132538,87.330002,115.487038,124.879997
"2016-08-11",94.045959,91.769997,115.870865,124.900002
"2016-08-12",93.151375,98.25,115.355957,124.879997
"2016-08-15",93.401497,97.169998,114.504044,123.900002
"2016-08-16",93.189865,96.660004,112.650421,123.300003
"2016-08-17",93.180252,97,113.567863,124.370003
"2016-08-18",92.968643,97,113.015526,123.910004
"2016-08-19",92.718529,96.860001,113.015526,123.559998
"2016-08-22",92.218346,95.650002,112.270996,124.150002
"2016-08-23",92.314529,95.790001,112.563171,124.370003
"2016-08-24",92.170258,93.879997,111.875198,123.480003
"2016-08-25",91.91053,93.940002,111.743248,123.889999
"2016-08-26",91.583473,95.059998,112.186195,124.959999
"2016-08-29",91.256432,94.879997,113.015526,126.540001
"2016-08-30",91.246811,96,112.591438,125.839996
"2016-08-31",90.862045,97.190002,112.468903,126.120003
"2016-09-01",90.669655,97.419998,112.223877,126.169998
"2016-09-02",90.82357,99.25,112.450066,126.510002
"2016-09-06",90.227196,103.779999,112.855309,129.729996
"2016-09-07",90.140617,102.32,112.723373,131.050003
"2016-09-08",90.506134,102.57,112.591438,130.270004
"2016-09-09",88.89975,99.620003,111.422829,127.099998
"2016-09-12",90.07328,100.800003,112.299278,128.690002
"2016-09-13",89.169075,100.279999,110.838524,127.209999
"2016-09-14",88.745842,102.400002,111.074127,127.769997
"2016-09-15",88.9767,104.449997,111.799805,128.350006
